backend,profile,strategy,n,latency_ms_mean,latency_ms_ci95_low,latency_ms_ci95_high,pre_ready_rate_mean,pre_ready_rate_ci95_low,pre_ready_rate_ci95_high,fidelity_at_use_mean,fidelity_at_use_ci95_low,fidelity_at_use_ci95_high,expiry_percent_mean,expiry_percent_ci95_low,expiry_percent_ci95_high,fallback_rate_mean,fallback_rate_ci95_low,fallback_rate_ci95_high,preparation_attempts_mean,preparation_attempts_ci95_low,preparation_attempts_ci95_high
native-SeQUeNCe,full-odg-4,odg,30,0.07645080709917912,0.07599164267965743,0.07690997151870081,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
native-SeQUeNCe,static-1plus1,dynamic,30,0.018989563028825193,0.01868159830576169,0.019297527751888695,0.696608800968914,0.6937528292491051,0.6994647726887229,0.8660289145386331,0.865711645583236,0.8663461834940301,0.0,0.0,0.0,0.17140357959897726,0.16914356948212525,0.17366358971582926,11993.5,11958.16247535994,12028.83752464006
native-SeQUeNCe,static-1plus1,fixed,30,0.03704165291542861,0.03673534788425736,0.037347957946599855,0.5145942672587808,0.5137445527733501,0.5154439817442115,0.6671099004868826,0.6661246307029289,0.6680951702708362,0.002689256420599704,-0.0028102729595266903,0.008188785800726099,0.4730251648499529,0.47243687431350395,0.4736134553864018,7964.966666666666,7903.565485968575,8026.367847364758
native-SeQUeNCe,static-1plus1,matched-on-demand,30,0.07645080709917912,0.07599164267965743,0.07690997151870081,0.0,0.0,0.0,,,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
native-SeQUeNCe,static-2plus2,dynamic,30,0.018989563028825193,0.01868159830576169,0.019297527751888695,0.696608800968914,0.6937528292491051,0.6994647726887229,0.8660289145386331,0.865711645583236,0.8663461834940301,0.0,0.0,0.0,0.17140357959897726,0.16914356948212525,0.17366358971582926,11993.5,11958.16247535994,12028.83752464006
native-SeQUeNCe,static-2plus2,fixed,30,0.005027685935425919,0.004854203424213473,0.005201168446638364,0.922870407751312,0.9214417568141832,0.9242990586884409,0.7393477071479697,0.7387324810883076,0.7399629332076318,0.0,0.0,0.0,0.04191898802314628,0.040809156716395956,0.043028819329896606,14875.9,14806.902066172303,14944.897933827697
native-SeQUeNCe,static-2plus2,matched-on-demand,30,0.07645080709917912,0.07599164267965743,0.07690997151870081,0.0,0.0,0.0,,,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
native-SeQUeNCe,static-3plus1,dynamic,30,0.018989563028825193,0.01868159830576169,0.019297527751888695,0.696608800968914,0.6937528292491051,0.6994647726887229,0.8660289145386331,0.865711645583236,0.8663461834940301,0.0,0.0,0.0,0.17140357959897726,0.16914356948212525,0.17366358971582926,11993.5,11958.16247535994,12028.83752464006
native-SeQUeNCe,static-3plus1,fixed,30,0.005027685935425919,0.004854203424213473,0.005201168446638364,0.922870407751312,0.9214417568141832,0.9242990586884409,0.7393477071479697,0.7387324810883076,0.7399629332076318,0.0,0.0,0.0,0.04191898802314628,0.040809156716395956,0.043028819329896606,14875.9,14806.902066172303,14944.897933827697
native-SeQUeNCe,static-3plus1,matched-on-demand,30,0.07645080709917912,0.07599164267965743,0.07690997151870081,0.0,0.0,0.0,,,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
